,name,handle,x,y,bestFitY,r2
94,Grant SCHULTZ,GrantschultzNSW,833,7585,25886.007464973438,0.058261668430515
95,Keith PITT,keithjpitt,840,42374,25886.120756774842,0.058261668430515
96,Daniel MULINO,DanielMulinoMP,860,46709,25886.444447635993,0.058261668430515
97,Des HARDMAN,Des_Hardman,875,27008,25886.687215781854,0.058261668430515
98,Seamus LEE,seamus_polsci,879,4633,25886.751953954084,0.058261668430515
99,Jake HALL-EVANS,hallevansjake,890,40039,25886.92998392772,0.058261668430515
100,Shaun OSBORN,shaunosborn1,911,38753,25887.269859331926,0.058261668430515
101,Aoife CHAMPION,AoifeChampion,915,27223,25887.334597504156,0.058261668430515
102,Nick CHAMPION,NickChampionMP,937,51791,25887.690657451425,0.058261668430515
103,Bert VAN MANEN,BertVanManen,1070,39819,25889.84320167808,0.058261668430515
104,Kieran DRABSCH,FairGoForFarrer,1075,14236,25889.924124393365,0.058261668430515
105,Phillip THOMPSON,P_Thompson88,1136,34112,25890.911381519876,0.058261668430515
106,Simon O'BRIEN,OBrienforCook,1157,21718,25891.251256924083,0.058261668430515
107,Michelle LANDRY,mlandryMP,1192,36163,25891.817715931098,0.058261668430515
108,Elida FAITH,ElidaFaith,1365,25846,25894.617641880053,0.058261668430515
109,Nola MARINO,NolaMarinoMP,1370,47470,25894.698564595343,0.058261668430515
110,Kevin HOGAN,KevinHoganMP,1444,53672,25895.8962207816,0.058261668430515
111,James STEVENS,James_Stevens,1461,55490,25896.17135801358,0.058261668430515
112,Russell ROBERTSON,RRobertson_ALP,1466,21120,25896.252280728866,0.058261668430515
113,Sue BOLTON,sueabolton,1531,4344,25897.304276027608,0.058261668430515
114,Johnathan DAVIS,jdaviscbr,1737,12168,25900.638291897463,0.058261668430515
115,Scott BUCHHOLZ,ScottBuchholzMP,1833,43522,25902.192008030986,0.058261668430515
116,Cressida O'HANLON,CressidaOHanlon,1882,32766,25902.985050640807,0.058261668430515
117,Georgina DOWNER,GeorginaDowner,1884,42426,25903.017419726923,0.058261668430515
118,Steph HODGINS-MAY,stephhodginsmay,1901,23534,25903.292556958902,0.058261668430515
119,Jo BRISKEY,JoBriskey,1931,29291,25903.77809325063,0.058261668430515
120,John ALEXANDER,JAforBennelong,1992,48942,25904.76535037714,0.058261668430515
121,David GILLESPIE,DaveGillespieMP,2049,49934,25905.687869331417,0.058261668430515
122,Katie GOMPERTZ,GompertzKatie,2076,19821,25906.124851993973,0.058261668430515
123,Mina ZAKI,minazzaki,2307,24063,25909.863481440265,0.058261668430515
124,David COLEMAN,DavidColemanMP,2321,46709,25910.09006504307,0.058261668430515
125,Eric KERR,Eric__Kerr,2493,12202,25912.87380644897,0.058261668430515
126,Aaron HAMMOND,AaronHammondSP,2516,3240,25913.246050939295,0.058261668430515
127,Jim CASEY,JimCaseyGreens,2540,21607,25913.634479972676,0.058261668430515
128,James JANSSON,jamesjansson,2554,1595,25913.86106357548,0.058261668430515
129,Vickie JANSON,VickiePolitics,2568,1614,25914.087647178287,0.058261668430515
130,Chris CREWTHER,ChrisCrewther,2584,38616,25914.346599867207,0.058261668430515
131,Gaye CAMERON,GayeCameronNSW,2720,3277,25916.547697723036,0.058261668430515
132,Julian LEESER,JulianLeeser,2845,53741,25918.57076560523,0.058261668430515
133,Kevin ANDREWS,kevinandrewsmp,2940,50863,25920.108297195697,0.058261668430515
134,Sharon BIRD,SharonBirdMP,3009,46923,25921.225030666665,0.058261668430515
135,Kristyn GLANVILLE,ikkyg,3035,5647,25921.645828786164,0.058261668430515
136,Maria VAMVAKINOU,MariaVamvakinou,3208,47115,25924.44575473512,0.058261668430515
137,Justine ELLIOT,JElliotMP,3296,31807,25925.869994524182,0.058261668430515
138,Sue PENNICUIK,suepennicuik,3314,13951,25926.161316299218,0.058261668430515
139,Damian DRUM,damiandrummp,3333,48855,25926.468822617313,0.058261668430515
140,Susan MOYLAN,smoylancoombs,3426,1111,25927.973985121665,0.058261668430515
141,Ross HART,RossHartMP,3471,23878,25928.702289559253,0.058261668430515
142,Rachel PAYNE,rachelpayne,3506,2029,25929.26874856627,0.058261668430515
143,Rob FORSTER,RobertForster3,3657,2495,25931.712614567958,0.058261668430515
144,Lucy WICKS,LucyWicksMP,3665,45011,25931.842090912418,0.058261668430515
145,Katrina HODGKINSON,KatrinaHoddy,3794,13462,25933.92989696684,0.058261668430515
146,Christian PORTER,cporterwa,3815,43689,25934.26977237105,0.058261668430515
147,Andrew LAMING,AndrewLamingMP,3948,47866,25936.422316597706,0.058261668430515
148,Daniel BRYAR,BryarDaniel,4089,9330,25938.70433716882,0.058261668430515
149,Yvonne LANGENBERG,Yvonne4NE,4249,12410,25941.29386405803,0.058261668430515
150,Stuart ROBERT,stuartrobertmp,4462,47359,25944.741171729285,0.058261668430515
151,Zac BEERS,zac_beers,4520,25628,25945.679875226622,0.058261668430515
152,Dan TEHAN,DanTehanWannon,4533,53094,25945.890274286372,0.058261668430515
153,Monica TAN,monicatanAU,4747,11157,25949.353766500688,0.058261668430515
154,Fiona MARTIN,FionaMartinMP,5194,45288,25956.58825724741,0.058261668430515
155,Scott RICKARD,Rickard_Scott,5632,7579,25963.67708710662,0.058261668430515
156,Justine KEAY,justinekeay,7115,22434,25987.678764460965,0.058261668430515
157,Steve GEORGANAS,stevegeorganas,7214,43163,25989.281034223663,0.058261668430515
158,Alex DYSON,AlexDyson,7452,10797,25993.13295547136,0.058261668430515
159,Meryl SWANSON,MerylSwanson,7591,44288,25995.38260695636,0.058261668430515
160,Chris GAMBIAN,chrisgambian,8347,33341,26007.618121507865,0.058261668430515
161,Fiona PHILLIPS,fiboydphillips,8960,38972,26017.539246402142,0.058261668430515
162,Katie ALLEN,KatieAllenMP,9073,48091,26019.368099767646,0.058261668430515
163,Michael SUKKAR,MichaelSukkarMP,9636,46536,26028.479997509046,0.058261668430515
164,Ray KINGSTON,MalleeRay,9962,8621,26033.75615854581,0.058261668430515
165,Robert OAKESHOTT,RobOakeshott1,10096,25847,26035.92488731552,0.058261668430515
166,Barbara POCOCK,BarbaraPocock,10103,16853,26036.038179116924,0.058261668430515
167,Matt KEOGH,mattkeogh,10283,36058,26038.951396867284,0.058261668430515
168,Sharon CLAYDON,SharonClaydon,10396,47137,26040.780250232787,0.058261668430515
169,Melissa PRICE,Melissa4Durack,11479,34429,26058.308110364113,0.058261668430515
170,Harkirat SINGH,iHarkiratSingh,11673,6730,26061.447911717278,0.058261668430515
171,Julie OWENS,JulieOwensMP,12173,38171,26069.540183246052,0.058261668430515
172,Jason FALINSKI,JasonFalinskiMP,12445,52088,26073.942378957705,0.058261668430515
173,Petra CAMPBELL,PetraAu,12975,1346,26082.520186778205,0.058261668430515
174,Anthony BYRNE,AnthonyByrne_MP,12983,48031,26082.649663122666,0.058261668430515
175,Brian OWLER,BrianOwler,13410,32769,26089.56046300824,0.058261668430515
176,Pat CONROY,PatConroy1,15827,41126,26128.678503578336,0.058261668430515
177,Paul FLETCHER,PaulFletcherMP,16636,58007,26141.771798911894,0.058261668430515
178,Milton DICK,MiltonDickMP,17797,38501,26160.56205340171,0.058261668430515
179,Josh WILSON,Josh4Freo,17934,34636,26162.779335800595,0.058261668430515
180,Alex HAWKE,AlexHawkeMP,18166,61202,26166.534149789946,0.058261668430515
181,Maurice BILLI,mauricebilli,18888,27150,26178.219389877497,0.058261668430515
182,Sussan LEY,sussanley,19263,49316,26184.288593524077,0.058261668430515
183,Shireen MORRIS,ShireenMorrisMs,19356,31648,26185.79375602843,0.058261668430515
184,Alicia PAYNE,AliciaPayneMP,19609,34989,26189.88844542199,0.058261668430515
185,Libby COKER,LibbyCokerMP,20928,36047,26211.2358577149,0.058261668430515
186,Max CHANDLER-MATHER,MChandlerMather,21151,23562,26214.84501081673,0.058261668430515
187,Fiona McLEOD,FiMcLeodSC,21354,25498,26218.130473057416,0.058261668430515
188,Angus TAYLOR,AngusTaylorMP,21446,54589,26219.61945101871,0.058261668430515
189,Ruby O'ROURKE,SHE_RubyORourke,22913,1108,26243.362175684135,0.058261668430515
190,Susan TEMPLEMAN,stemplemanmp,25682,37106,26288.17717541049,0.058261668430515
191,Madeleine KING,MadeleineMHKing,25907,35875,26291.81869759844,0.058261668430515
192,Graham PERRETT,GrahamPerrettMP,25926,31864,26292.12620391653,0.058261668430515
193,Lisa CHESTERS,LMChesters,28668,44340,26336.504220980332,0.058261668430515
194,Andrew BARTLETT,AndrewBartlett,29535,22807,26350.536219811227,0.058261668430515
