,name,handle,x,y,bestFitY,r2
76,Emmet de BHALDRAITHE,Emmet_deB,67,5982,21444.706361102755,0.194752215670755
77,Leigh FIRMAN,FirmanLeigh,68,497,21449.400358183204,0.194752215670755
78,Nell McGILL,mcgill_penelope,75,37363,21482.258337746338,0.194752215670755
79,Aoife CHAMPION,AoifeChampion,77,27223,21491.64633190723,0.194752215670755
80,Linda LITTLE,LindaLittleALP,79,14427,21501.034326068126,0.194752215670755
81,David SMITH,DaveSmithMP,84,35447,21524.504311470362,0.194752215670755
82,Nick SHADY,Nick_Shady71,84,2288,21524.504311470362,0.194752215670755
83,Craig BRAKEY,CraigBrakey,89,7619,21547.9742968726,0.194752215670755
84,Jim CASEY,JimCaseyGreens,90,21607,21552.668293953047,0.194752215670755
85,Ben McGREGOR,BenMcGregorALP,94,13641,21571.44428227484,0.194752215670755
86,Pat CONAGHAN,PatConaghanMP,98,49668,21590.220270596627,0.194752215670755
87,Christine STOW,AnneWebsterMP,101,34877,21604.30226183797,0.194752215670755
88,Emma McBRIDE,Emma4Dobell,109,42093,21641.85423848155,0.194752215670755
89,Jacqui MUNRO,jacquifunro,116,25230,21674.712218044682,0.194752215670755
90,Therese FAULKNER,ThereseCbrProgs,124,2722,21712.26419468826,0.194752215670755
91,Innes LARKIN,innesforwright,125,5165,21716.958191768706,0.194752215670755
92,Robert OAKESHOTT,RobOakeshott1,128,25847,21731.04018301005,0.194752215670755
93,Daniel VUJCICH,DanielVujcich1,131,10735,21745.12217425139,0.194752215670755
94,Tim BOHM,timbohm_2B,134,4062,21759.204165492734,0.194752215670755
95,Nadine RICHINGS,DrNRichingsAJP,139,2476,21782.67415089497,0.194752215670755
96,Brendan O'CONNOR,BOConnorMP,143,47398,21801.450139216762,0.194752215670755
97,Simon O'BRIEN,OBrienforCook,153,21718,21848.390110021235,0.194752215670755
98,Nick LARCOMBE,Larcombe_N,154,2906,21853.084107101684,0.194752215670755
99,Brett STONE,brettjstone,157,24289,21867.166098343027,0.194752215670755
100,Steph HODGINS-MAY,stephhodginsmay,161,23534,21885.942086664814,0.194752215670755
