,name,handle,x,y,bestFitY,r2
244,Adam BANDT,AdamBandt,1934791,45876,26724.67534977952,0.000247625162061
245,Justine KEAY,justinekeay,2132049,22434,26679.30636943262,0.000247625162061
246,Harkirat SINGH,iHarkiratSingh,2186401,6730,26666.80550853058,0.000247625162061
247,Jason BALL,jasonballau,2310842,22573,26638.184305419178,0.000247625162061
248,Vivek SINGHA,Vivek__Singha,2377951,28441,26622.749357776494,0.000247625162061
249,Tim HOLLO,timhollo,2467042,20144,26602.25859021277,0.000247625162061
250,Brian MITCHELL,BrianMitchellMP,2668726,26091,26555.871637935626,0.000247625162061
251,Eric KERR,Eric__Kerr,3262476,12202,26419.310220497686,0.000247625162061
252,Nick CHAMPION,NickChampionMP,3283089,51791,26414.569268080595,0.000247625162061
253,Josh BURNS,joshburnsmp,4026056,30855,26243.688212704405,0.000247625162061
254,Mina ZAKI,minazzaki,4278545,24063,26185.61620305811,0.000247625162061
255,Sue ETHERIDGE,EtheridgeSue,4290249,12291,26182.924304397573,0.000247625162061
256,Brendan O'CONNOR,BOConnorMP,4381158,47398,26162.01540014854,0.000247625162061
257,Kerryn PHELPS,drkerrynphelps,5625014,29109,25875.930788024438,0.000247625162061
258,Rachel PAYNE,rachelpayne,15891512,2029,23514.65496654443,0.000247625162061
