,name,handle,x,y,bestFitY,r2
99,Rob TABER,Rob_Taber,312,3702,20305.942499555236,0.157753922658734
100,Julian LEESER,JulianLeeser,345,53741,20477.17251827913,0.157753922658734
101,Alicia PAYNE,AliciaPayneMP,349,34989,20497.927672063845,0.157753922658734
102,Daniel MULINO,DanielMulinoMP,384,46709,20679.535267680098,0.157753922658734
103,Jason WOOD,JasonWood_MP,399,45123,20757.367094372778,0.157753922658734
104,Sharon LOHSE,sharon_lohse,457,17531,21058.31682425114,0.157753922658734
105,Graham McFARLAND,ABFforGreenway,459,2072,21068.694401143497,0.157753922658734
106,Ganesh Sahadev LOKE,GaryLoke4Prmtta,500,2186,21281.43472743682,0.157753922658734
107,Nerilee BOSHAMMER,nezziebee82,513,11645,21348.88897723714,0.157753922658734
108,Aaron HAMMOND,AaronHammondSP,580,3240,21696.53780313111,0.157753922658734
109,Kieran DRABSCH,FairGoForFarrer,617,14236,21888.52297563972,0.157753922658734
110,Nola MARINO,NolaMarinoMP,677,47470,22199.850282410436,0.157753922658734
111,Katie GOMPERTZ,GompertzKatie,735,19821,22500.800012288797,0.157753922658734
112,Melissa McINTOSH,MGrahMcIntosh,740,45247,22526.74395451969,0.157753922658734
113,Johnathan DAVIS,jdaviscbr,756,12168,22609.76456965855,0.157753922658734
114,Des HARDMAN,Des_Hardman,819,27008,22936.658241767804,0.157753922658734
115,David GILLESPIE,DaveGillespieMP,826,49934,22972.979760891052,0.157753922658734
116,Yvonne LANGENBERG,Yvonne4NE,870,12410,23201.286452522912,0.157753922658734
117,Kate THWAITES,ThwaitesKate,991,41086,23829.129854510527,0.157753922658734
118,Maria VAMVAKINOU,MariaVamvakinou,1015,47115,23953.660777218814,0.157753922658734
119,Alex DYSON,AlexDyson,1035,10797,24057.436546142388,0.157753922658734
120,Georgina DOWNER,GeorginaDowner,1064,42426,24207.911411081568,0.157753922658734
121,Jo BRISKEY,JoBriskey,1161,29291,24711.223890360896,0.157753922658734
122,Ali FRANCE,alifrance5,1248,30370,25162.648485178433,0.157753922658734
123,Jake HALL-EVANS,hallevansjake,1279,40039,25323.500927009973,0.157753922658734
124,Katie ALLEN,KatieAllenMP,1302,48091,25442.84306127208,0.157753922658734
125,James STEVENS,James_Stevens,1362,55490,25754.1703680428,0.157753922658734
126,Melissa PRICE,Melissa4Durack,1365,34429,25769.736733381334,0.157753922658734
127,Matthew THOMPSON,MattThompson777,1412,17134,26013.60979035173,0.157753922658734
128,Peter DUTTON,PeterDutton_MP,1414,44528,26023.987367244088,0.157753922658734
129,Sue BOLTON,sueabolton,1427,4344,26091.44161704441,0.157753922658734
130,Julian HILL,JulianHillMP,1435,51713,26132.951924613837,0.157753922658734
131,Andrew WILKIE,WilkieMP,1492,33761,26428.712866046022,0.157753922658734
132,Scott BUCHHOLZ,ScottBuchholzMP,1496,43522,26449.468019830736,0.157753922658734
133,Rebekha SHARKIE,MakeMayoMatter,1500,38525,26470.22317361545,0.157753922658734
134,Max CHANDLER-MATHER,MChandlerMather,1555,23562,26755.606538155276,0.157753922658734
135,Brian OWLER,BrianOwler,1599,32769,26983.913229787133,0.157753922658734
136,Teresa VAN LIESHOUT,TeresavLieshout,1600,1660,26989.102018233312,0.157753922658734
137,Eric KERR,Eric__Kerr,1629,12202,27139.576883172493,0.157753922658734
138,Kevin ANDREWS,kevinandrewsmp,1744,50863,27736.287554483035,0.157753922658734
139,Damian DRUM,damiandrummp,1819,48855,28125.44668794643,0.157753922658734
140,Julia BANKS,juliahbanks,1827,13367,28166.956995515862,0.157753922658734
141,Justine ELLIOT,JElliotMP,1934,31807,28722.157359256977,0.157753922658734
142,Kevin HOGAN,KevinHoganMP,1947,53672,28789.611609057298,0.157753922658734
143,Bert VAN MANEN,BertVanManen,2026,39819,29199.525896305408,0.157753922658734
144,John FLANAGAN,jjflanagan,2038,1213,29261.791357659553,0.157753922658734
145,Pat CONROY,PatConroy1,2099,41126,29578.30745287645,0.157753922658734
146,Craig KELLY,CraigKellyMP,2107,50763,29619.817760445876,0.157753922658734
147,Justine KEAY,justinekeay,2124,22434,29708.027164030915,0.157753922658734
148,Mark DREYFUS,markdreyfusQCMP,2131,43364,29744.348683154167,0.157753922658734
149,Jason FALINSKI,JasonFalinskiMP,2224,52088,30226.90600864878,0.157753922658734
150,Stella YEE,Stella4Menzies,2243,29539,30325.49298912617,0.157753922658734
151,Susan TEMPLEMAN,stemplemanmp,2286,37106,30548.61089231185,0.157753922658734
152,Fiona PHILLIPS,fiboydphillips,2349,38972,30875.504564421106,0.157753922658734
153,Cressida O'HANLON,CressidaOHanlon,2351,32766,30885.882141313465,0.157753922658734
154,Josh BURNS,joshburnsmp,2382,30855,31046.734583145,0.157753922658734
155,Helen HAINES,helenhainesindi,2401,32664,31145.321563622398,0.157753922658734
156,James JANSSON,jamesjansson,2468,1595,31492.970389516362,0.157753922658734
157,Clare O'NEIL,ClareONeilMP,2524,43310,31783.542542502368,0.157753922658734
158,Amanda RISHWORTH,AmandaRishworth,2541,53655,31871.751946087403,0.157753922658734
159,Dave SHARMA,DaveSharma,2553,42575,31934.017407441548,0.157753922658734
160,Chris CREWTHER,ChrisCrewther,2702,38616,32707.146885922164,0.157753922658734
161,Angus TAYLOR,AngusTaylorMP,2708,54589,32738.279616599233,0.157753922658734
162,Daniel BRYAR,BryarDaniel,2711,9330,32753.84598193777,0.157753922658734
163,Meryl SWANSON,MerylSwanson,2785,44288,33137.81632695499,0.157753922658734
164,Ross HART,RossHartMP,2786,23878,33143.00511540117,0.157753922658734
165,Sharon CLAYDON,SharonClaydon,2852,47137,33485.46515284896,0.157753922658734
166,Sussan LEY,sussanley,2883,49316,33646.3175946805,0.157753922658734
167,Alan TUDGE,AlanTudgeMP,2894,54744,33703.39426758846,0.157753922658734
168,Harkirat SINGH,iHarkiratSingh,2897,6730,33718.960632926995,0.157753922658734
169,Michael SUKKAR,MichaelSukkarMP,2999,46536,34248.21705443722,0.157753922658734
170,Grant SCHULTZ,GrantschultzNSW,3046,7585,34492.09011140761,0.157753922658734
171,Shireen MORRIS,ShireenMorrisMs,3126,31648,34907.193187101904,0.157753922658734
172,Anika WELLS,AnikaWells,3130,34434,34927.94834088662,0.157753922658734
173,Sharon BIRD,SharonBirdMP,3174,46923,35156.25503251848,0.157753922658734
174,Julie OWENS,JulieOwensMP,3176,38171,35166.63260941084,0.157753922658734
175,Katrina HODGKINSON,KatrinaHoddy,3181,13462,35192.57655164173,0.157753922658734
176,Jason BALL,jasonballau,3182,22573,35197.765340087906,0.157753922658734
177,Vivek SINGHA,Vivek__Singha,3182,28441,35197.765340087906,0.157753922658734
178,Lucy WICKS,LucyWicksMP,3183,45011,35202.95412853408,0.157753922658734
179,Ruby O'ROURKE,SHE_RubyORourke,3186,1108,35218.520493872624,0.157753922658734
180,Barnaby JOYCE,Barnaby_Joyce,3188,53348,35228.898070764975,0.157753922658734
181,Kristyn GLANVILLE,ikkyg,3194,5647,35260.03080144205,0.157753922658734
182,Tony ABBOTT,HonTonyAbbott,3199,35935,35285.974743672945,0.157753922658734
183,Steve GEORGANAS,stevegeorganas,3199,43163,35285.974743672945,0.157753922658734
184,Andrew LAMING,AndrewLamingMP,3201,47866,35296.352320565304,0.157753922658734
185,Karen ANDREWS,karenandrewsmp,3212,44634,35353.428993473266,0.157753922658734
186,Mina ZAKI,minazzaki,3213,24063,35358.61778191944,0.157753922658734
187,Rachel PAYNE,rachelpayne,3215,2029,35368.9953588118,0.157753922658734
188,Jason SCANES,LaborWide,3222,20418,35405.31687793505,0.157753922658734
189,Monica TAN,monicatanAU,3222,11157,35405.31687793505,0.157753922658734
190,Linda BURNEY,LindaBurneyMP,3231,44227,35452.01597395066,0.157753922658734
191,Michelle ROWLAND,MRowlandMP,3231,43901,35452.01597395066,0.157753922658734
192,Tim WILSON,TimWilsonMP,3236,52320,35477.95991618156,0.157753922658734
193,Sue PENNICUIK,suepennicuik,3237,13951,35483.14870462773,0.157753922658734
194,Richard MARLES,RichardMarlesMP,3238,47010,35488.33749307391,0.157753922658734
195,Graham PERRETT,GrahamPerrettMP,3239,31864,35493.526281520084,0.157753922658734
196,Mike KELLY,MikeKellyofEM,3242,38878,35509.092646858626,0.157753922658734
197,Milton DICK,MiltonDickMP,3242,38501,35509.092646858626,0.157753922658734
198,Fiona McLEOD,FiMcLeodSC,3243,25498,35514.2814353048,0.157753922658734
199,Vickie JANSON,VickiePolitics,3243,1614,35514.2814353048,0.157753922658734
200,Julian BURNSIDE,JulianBurnside,3245,21035,35524.65901219716,0.157753922658734
201,Lisa CHESTERS,LMChesters,3245,44340,35524.65901219716,0.157753922658734
202,Rob MITCHELL,RobMitchellMP,3245,37911,35524.65901219716,0.157753922658734
203,Sue ETHERIDGE,EtheridgeSue,3246,12291,35529.84780064334,0.157753922658734
204,Anthony BYRNE,AnthonyByrne_MP,3249,48031,35545.41416598187,0.157753922658734
205,Stuart ROBERT,stuartrobertmp,3250,47359,35550.60295442805,0.157753922658734
206,Gaye CAMERON,GayeCameronNSW,3251,3277,35555.79174287424,0.157753922658734
207,Alex HAWKE,AlexHawkeMP,3259,61202,35597.30205044366,0.157753922658734
208,Tony BURKE,Tony_Burke,3259,43550,35597.30205044366,0.157753922658734
209,Chris GAMBIAN,chrisgambian,3261,33341,35607.67962733602,0.157753922658734
210,Greg HUNT,GregHuntMP,3261,45293,35607.67962733602,0.157753922658734
211,Ken WYATT,KenWyattMP,3261,36735,35607.67962733602,0.157753922658734
212,Mark BUTLER,Mark_Butler_MP,3262,46950,35612.8684157822,0.157753922658734
213,Bill SHORTEN,billshortenmp,3264,47487,35623.24599267455,0.157753922658734
214,Scott MORRISON,ScottMorrisonMP,3264,59895,35623.24599267455,0.157753922658734
